ds,yhat,yhat_lower,yhat_upper,brand
2023-01-01,949731757.281037,949731757.1759754,949731757.3780754,Apple
2023-04-01,865445362.3932248,865445362.3018239,865445362.4876482,Apple
2023-07-01,912141483.7105709,912141483.6076512,912141483.8141025,Apple
2023-10-01,836789519.1286238,836789519.0234962,836789519.2234173,Apple
2024-01-01,2335394701.8769,2334009259.7564363,2336962339.274548,Apple
2024-04-01,1635879665.0392365,1633114828.557575,1639097402.8168323,Apple
2024-07-01,1099049053.3788705,1095792906.939688,1102831796.112636,Apple
2024-10-01,1741102217.6176858,1733273521.6753247,1749528300.4214194,Apple
2023-01-01,143453861.88443834,143453861.84996307,143453861.9206176,OnePlus
2023-04-01,169619141.43339536,169619141.3973469,169619141.46401557,OnePlus
2023-07-01,161209757.29408547,161209757.25904122,161209757.32964966,OnePlus
2023-10-01,167312577.579664,167312577.54547817,167312577.6156587,OnePlus
2024-01-01,153200686.22820252,153200674.57590294,153200699.7727714,OnePlus
2024-04-01,42945630.21796967,42945620.30576206,42945641.35300013,OnePlus
2024-07-01,541257327.6850107,541257097.4253384,541257576.46124,OnePlus
2024-10-01,32775035.896105293,32775015.096925784,32775057.795191064,OnePlus
2023-01-01,353453658.7072264,353453658.606404,353453658.81734145,Samsung
2023-04-01,306011583.17272323,306011583.07430327,306011583.2804025,Samsung
2023-07-01,293127005.1846681,293127005.0827545,293127005.2870031,Samsung
2023-10-01,321090271.68389857,321090271.57791764,321090271.7881875,Samsung
2024-01-01,800742590.6737461,800742472.297791,800742725.6976709,Samsung
2024-04-01,642755179.0537528,642754893.7911355,642755490.2949895,Samsung
2024-07-01,1121001051.4100294,1121000160.9278257,1121001987.3476067,Samsung
2024-10-01,1421481314.8440423,1421479740.9777348,1421483084.481417,Samsung
2023-01-01,156319551.91305706,156319551.88112992,156319551.9453892,Xiaomi
2023-04-01,160978749.72223148,160978749.69180253,160978749.7535479,Xiaomi
2023-07-01,174675851.06811744,174675851.0363308,174675851.09989107,Xiaomi
2023-10-01,169635497.04374224,169635497.01329732,169635497.07453504,Xiaomi
2024-01-01,462902497.0502517,462902472.4300095,462902519.271286,Xiaomi
2024-04-01,290409446.875142,290409405.7542467,290409485.07471085,Xiaomi
2024-07-01,136975401.95577025,136975369.07058766,136975433.75743714,Xiaomi
2024-10-01,262899858.73767546,262899769.87722465,262899942.40380734,Xiaomi
