brand,os,price,ram,storage,battery,camera_mp,promo,sentiment,quarter,sales_volume,revenue
Apple,iOS,414.67,8,128,4934,8,1,0.12784040316728537,3,3554,1474073.0090732244
OnePlus,Android,484.51,12,128,4006,16,0,0.36875078408249884,4,1564,758201.8040983345
OnePlus,Android,200.7,6,256,5069,64,1,-0.3521335504882296,2,2293,460310.3774497998
Samsung,Android,429.25,8,256,4027,16,0,1.1289722927208916,2,2901,1245299.6293157365
Xiaomi,Android,280.12,6,128,4189,64,0,-0.6655097072886943,2,2561,717449.1223393655
OnePlus,Android,482.38,3,64,5012,64,0,-1.4571558198556664,1,1667,804218.1790685661
Xiaomi,Android,100.0,3,128,4147,48,0,-0.33488502998577485,3,2570,257057.7981636639
Xiaomi,Android,308.67,2,64,5456,16,1,-1.1332872140034806,1,2394,739157.046812905
OnePlus,Android,434.13,6,128,3703,48,0,0.45677523755741145,2,1663,722290.9377289716
Apple,iOS,721.86,8,64,4792,48,0,0.4465311760299441,1,3439,2482560.6495719324
Apple,iOS,702.46,6,64,3952,8,0,-0.9972468276014818,2,2895,2034016.9083519513
OnePlus,Android,596.46,8,128,4972,16,0,-0.3390330759005625,2,1670,996118.7283347775
Xiaomi,Android,197.55,4,256,3505,64,1,0.23267621135470395,2,2951,583067.8603985463
Xiaomi,Android,100.0,6,32,3448,16,0,1.4633028912195618,2,2265,226508.88391286935
OnePlus,Android,146.05,4,128,3426,8,1,-1.0155790812075416,2,1786,260935.43337154068
OnePlus,Android,1027.03,12,128,4355,16,0,-0.41535726017968533,2,1324,1359795.3713031628
Samsung,Android,347.11,3,128,3054,12,0,-0.05378255081832049,3,2626,911585.70287806
Xiaomi,Android,100.0,4,32,3353,16,1,0.838489203736345,3,2412,241293.1742378115
Apple,iOS,1079.64,6,64,5382,108,0,-0.45498348034078,2,3339,3605832.288459492
Samsung,Android,773.73,8,256,3289,16,1,-0.41092723083373717,3,2900,2243901.328139849
OnePlus,Android,298.86,12,64,3236,12,1,-0.17951921328260065,3,1943,580790.6492473144
Apple,iOS,383.38,4,128,3801,48,0,0.33757454879893356,4,3530,1353341.1510248955
Samsung,Android,100.0,6,128,3329,48,0,-0.33412344070081207,1,2857,285755.4556191003
Xiaomi,Android,100.0,4,64,4270,108,0,-0.695942611670703,3,2771,277181.6987728414
Xiaomi,Android,100.0,3,64,4387,108,0,-0.8532433505588201,3,2631,263169.36322883586
OnePlus,Android,334.16,3,128,3626,12,0,-1.062414411859563,4,1373,458955.4449563572
Apple,iOS,1424.47,8,256,3935,48,0,-1.287422581274031,4,3128,4456571.7850633785
Xiaomi,Android,100.0,6,64,3480,16,0,0.777337576061744,4,2412,241234.34862497493
